country,region,total_cases,total_cases_per_million,last_week_cases,last_day_cases,total_deaths,total_deaths_per_million,last_week_deaths,last_day_deaths,transmission_class,gdp_2014_billionsusd,code
Saint Kitts and Nevis,Americas,40,751.99,2,0,0,0.0,0,0,Sporadic cases,0.81,KNA
Greenland,Europe,30,528.43,0,0,0,0.0,0,0,No cases,2.16,GRL
Saint Pierre and Miquelon,Americas,24,4141.5,0,0,0,0.0,0,0,Clusters of cases,0.22,SPM
Solomon Islands,Western Pacific,18,26.21,1,1,0,0.0,0,0,No cases,1.16,SLB
Anguilla,Americas,17,1133.18,0,0,0,0.0,0,0,Sporadic cases,0.18,AIA
Marshall Islands,Western Pacific,4,67.57,0,0,0,0.0,0,0,No cases,0.18,MHL
Samoa,Western Pacific,3,15.12,0,0,0,0.0,0,0,No cases,0.83,WSM
Vanuatu,Western Pacific,1,3.26,0,0,0,0.0,0,0,No cases,0.82,VUT
American Samoa,Western Pacific,0,0.0,0,0,0,0.0,0,0,No cases,0.75,ASM
Cook Islands,Western Pacific,0,0.0,0,0,0,0.0,0,0,No cases,0.18,COK
"Korea, North",South-East Asia,0,0.0,0,0,0,0.0,0,0,No cases,28.0,PRK
Kiribati,Western Pacific,0,0.0,0,0,0,0.0,0,0,No cases,0.16,KIR
Niue,Western Pacific,0,0.0,0,0,0,0.0,0,0,No cases,0.01,NIU
Palau,Western Pacific,0,0.0,0,0,0,0.0,0,0,No cases,0.65,PLW
Tonga,Western Pacific,0,0.0,0,0,0,0.0,0,0,No cases,0.49,TON
Turkmenistan,Europe,0,0.0,0,0,0,0.0,0,0,No cases,43.5,TKM
Tuvalu,Western Pacific,0,0.0,0,0,0,0.0,0,0,No cases,0.04,TUV
